,count,word
963,8,#목포북항카페
964,8,#산정동카페
965,8,#블루베리치즈케에크
966,8,#목포해상케이블카
967,8,#파블로바
968,8,#목포파블로바
969,8,#mokpo
970,8,#pavlova
971,8,#dacquoise
972,4,#애슐리치즈축제
973,4,#cheddarcheese
974,4,#치즈홀릭
975,4,#애슐리w
976,4,#만화속
977,4,#입안에감동
978,8,#치즈먹방
979,7,#피자
980,5,#치즈볼
981,4,#DIY
982,4,#메뉴스타그램
983,5,#퐁듀
984,4,#체다치즈
985,4,#닭강정
986,5,#잠실맛집
987,4,#애슐리디너
988,5,#애슐리
989,4,#육스타그램
990,4,#애스타그램
991,6,#육아소통
992,4,#6세딸
993,4,#육아맘일상
994,1,#라스페스베이킹스튜디오
995,1,#laspes
996,1,#라스페스
997,1,#치즈케이크클래스
998,2,#치즈케이크만들기
999,7,#베이킹클래스
1000,2,#케이크클래스
1001,8,#주문케이크
1002,1,#주문케익
1003,1,#케익맞춤제작
1004,1,#제작케익
1005,1,#제작케이크
1006,11,#생일케이크
1007,1,#생일케익
1008,1,#예쁜케이크
1009,1,#예쁜케익
1010,1,#Seoulcake
1011,1,#birthdaycake
1012,1,#가로수길케이크
1013,1,#이퀄센세이션
1014,1,#미사카페
1015,2,#제과기능사
1016,9,#베이커리
1017,6,#food
1018,5,#bakery
1019,3,#살롱드오하
1020,3,#부티크오하
1021,3,#빈티지상점
1022,3,#빈티지카페
1023,4,#속초카페
1024,5,#속초여행
1025,4,#인스타카페
1026,3,#속초브런치
1027,3,#속초와플
1028,3,#속초카페투어
1029,3,#속초밀크티
1030,3,#빈티지소품
1031,3,#속초빈티지상점
1032,3,#속초디저트
1033,3,#속초치즈케이크
1034,3,#양양카페
1035,3,#양양여행
1036,3,#고성카페
1037,3,#고성여행
1038,4,#강릉카페
1039,3,#양양와플
1040,3,#강릉와플
1041,3,#고성와플
1042,3,#오하와플
1043,3,#방탄소년단
1044,2,#ARMY
1045,2,#구미
1046,2,#김태형
1047,2,#HAPPYVDAY
1048,2,#WinterBear
1049,1,#하펜시티
1050,18,#포하프
1051,18,#fourhalf
1052,11,#포하프카페
1053,11,#포하프공방
1054,11,#가죽공방카페
1055,11,#부산가죽공방카페
1056,18,#해운대카페
1057,14,#수영카페
1058,12,#센텀카페
1059,14,#영화의전당
1060,11,#apec나루공원
1061,11,#부산데이트코스
1062,15,#티타임
1063,11,#인테리어
1064,12,#공간
1065,13,#부산카페투어
1066,17,#onthetable
1067,17,#cafetour
1068,1,#루돌치케
1069,1,#04년생
1070,1,#04
1071,1,#03년생
1072,2,#03
1073,1,#16
1074,1,#망고
1075,1,#꿀케이크
1076,1,#카페살구
1077,1,#거울샷
1078,9,#카페인나뫼
1079,5,#카페나뫼
1080,5,#나뫼
1081,5,#남외동카페
1082,5,#병영카페
1083,5,#명촌카페
1084,5,#진장동카페
1085,5,#소프트아이스크림
1086,5,#시오코나스콘
1087,4,#중구카페
1088,4,#남외초등학교
1089,4,#남외중학교
1090,4,#맘스병원
1091,4,#동천동강병원
1092,4,#동천체육관
1093,4,#정지말공원
1094,5,#비스코티
1095,3,#딸기시리즈
1096,2,#청주시내카페
1097,3,#청주카페
1098,2,#청주데이트
1099,1,#청주데이트카페
1100,3,#청주
1101,1,#청주디저트
1102,2,#라토커피
1103,1,#성안길
1104,1,#성안길카페
1105,1,#무심천카페
1106,1,#라토카페
1107,1,#라토커피청주점
1108,1,#라토치즈케이크
1109,3,#카라멜치즈케이크
1110,2,#ratocoffee
1111,1,#rato
1112,1,#중식
1113,1,#수수밥
1114,1,#참치김치찌개
1115,1,#고메치즈함박스테이크
1116,1,#양념감자
1117,1,#고구마범벅
1118,1,#깍두기
1119,1,#학교급식
1120,1,#남고식단
1121,2,#급식스타그램
1122,1,#영양사
1123,1,#식단일기
1124,1,#슬디식단
1125,1,#shilla
1126,1,#shillahotel
1127,9,#korea
1128,5,#seoul
1129,1,#silverlining
1130,2,#신라호텔
1131,1,#신라
1132,1,#실버라이닝
1133,1,#어느덧
1134,1,#벌써
1135,1,#아직
1136,1,#아직도
1137,1,#500일
1138,1,#어느쪽인가
1139,1,#암튼추카뽀카
1140,1,#오백크리스마스
1141,1,#오백일기념
1142,1,#치즈에와인
1143,4,#화이트와인
1144,1,#모스카토다스티
1145,1,#치즈짱맛
1146,1,#자랑스타그램
1147,1,#시들지않는꽃
1148,1,#꽃무드등
1149,1,#핑크수국
1150,1,#수국나무
1151,1,#수국유리등
1152,1,#넘넘이쁘다
1153,1,#귀걸이반짝반짝
1154,1,#스와로브스키
1155,1,#잘쓸게고마워
1156,3,#커플스타그램
1157,1,#500
1158,2,#술스타그램
1159,7,#와인
1160,1,#칠레
1161,1,#루이스펠리페에드워즈
1162,3,#wine
1163,1,#vino
1164,1,#chille
1165,1,#luisfelipeedwards
1166,1,#carmenere
1167,1,#2017
1168,2,#strawberry
1169,2,#cream
1170,1,#foodgasm
1171,1,#foodfetish
1172,1,#backen
1173,1,#먹나먹등
1174,2,#컨버세이션
1175,1,#켄로치
1176,1,#미안해요리키
1177,1,#movie
1178,1,#영화스타그램
1179,1,#kenloach
1180,1,#sorrywemissedyou
1181,1,#명필름카페
1182,1,#캐모마일
1183,3,#간식
1184,1,#토요일엔
1185,3,#얼스어스
1186,2,#얼스어스부산
1187,2,#earthus
1188,3,#달맞이카페
1189,3,#딸기크림치즈케이크
1190,2,#베리베리스트로베리크림치즈케이크
1191,3,#공감
1192,2,#작은여행
1193,2,#카페러버
1194,3,#cafelover
1195,2,#카페여행
1196,3,#부산카페추천
1197,7,#busancafe
1198,1,#한달이나지나찌만
1199,1,#만나서맛난거먹기
1200,2,#행복해
1201,1,#미팅룸여수
1202,1,#여수맛집
1203,1,#여수맛집추천
1204,1,#2차전
1205,1,#차이나로제파스타
1206,1,#가라아게카레
1207,5,#투썸플레이스
1208,12,#셀피
1209,2,#바스크
1210,5,#photo
1211,2,#bachee
1212,4,#cheese
1213,3,#바나나
1214,8,#follow
1215,3,#good
1216,2,#day
1217,4,#instadaily
1218,15,#selfie
1219,8,#아이폰
1220,2,#오늘은뭐먹지싶을댕
